Fecha;Equipo A;Equipo B;Equipo C;Equipo D;Equipo E;Equipo F
V 10/06/2005;T;O;N;D;D;M
S 11/06/2005;T;D;N;D;D;M
D 12/06/2005;N;D;D;D;M;T
L 13/06/2005;N;O;D;D;M;T
M 14/06/2005;D;O;D;M;T;N
X 15/06/2005;D;O;D;M;T;N
J 16/06/2005;D;O;M;T;N;D
V 17/06/2005;D;O;M;T;N;D
S 18/06/2005;M;D;T;N;D;D
D 19/06/2005;M;D;T;N;D;D
L 20/06/2005;T;O;N;D;D;M
M 21/06/2005;T;O;N;D;D;M
X 22/06/2005;N;O;D;D;M;T
J 23/06/2005;N;O;D;D;M;T
V 24/06/2005;D;O;D;M;T;N
S 25/06/2005;D;D;D;M;T;N
D 26/06/2005;D;D;M;T;N;D
L 27/06/2005;D;O;M;T;N;D
M 28/06/2005;M;O;T;N;D;D
X 29/06/2005;M;O;T;N;D;D
J 30/06/2005;T;O;N;D;D;M
V 01/07/2005;T;O;N;D;D;M
S 02/07/2005;N;D;D;D;M;T
D 03/07/2005;N;D;D;D;M;T
L 04/07/2005;D;M;D;O;T;N
M 05/07/2005;D;M;D;O;T;N
X 06/07/2005;D;T;M;O;N;D
J 07/07/2005;D;T;M;O;N;D
V 08/07/2005;M;N;T;O;D;D
S 09/07/2005;M;N;T;D;D;D
D 10/07/2005;T;D;N;D;D;M
L 11/07/2005;T;D;N;O;D;M
M 12/07/2005;N;D;D;O;M;T
X 13/07/2005;N;D;D;O;M;T
J 14/07/2005;D;M;D;O;T;N
V 15/07/2005;D;M;D;O;T;N
S 16/07/2005;D;T;M;D;N;D
D 17/07/2005;D;T;M;D;N;D
L 18/07/2005;M;N;T;O;D;D
M 19/07/2005;M;N;T;O;D;D
X 20/07/2005;T;D;N;O;D;M
J 21/07/2005;T;D;N;O;D;M
V 22/07/2005;N;D;D;O;M;T
S 23/07/2005;N;D;D;D;M;T
D 24/07/2005;D;M;D;D;T;N
L 25/07/2005;D;M;D;O;T;N
M 26/07/2005;D;T;M;O;N;D
X 27/07/2005;D;T;M;O;N;D
J 28/07/2005;M;N;T;O;D;D
V 29/07/2005;M;N;T;O;D;D
S 30/07/2005;T;D;N;D;D;M
D 31/07/2005;T;D;N;D;D;M
L 01/08/2005;N;D;D;M;O;T
M 02/08/2005;N;D;D;M;O;T
X 03/08/2005;D;M;D;T;O;N
J 04/08/2005;D;M;D;T;O;N
V 05/08/2005;D;T;M;N;O;D
S 06/08/2005;D;T;M;N;D;D
D 07/08/2005;M;N;T;D;D;D
L 08/08/2005;M;N;T;D;O;D
M 09/08/2005;T;D;N;D;O;M
X 10/08/2005;T;D;N;D;O;M
J 11/08/2005;N;D;D;M;O;T
V 12/08/2005;N;D;D;M;O;T
S 13/08/2005;D;M;D;T;D;N
D 14/08/2005;D;M;D;T;D;N
L 15/08/2005;D;T;M;N;O;D
M 16/08/2005;D;T;M;N;O;D
X 17/08/2005;M;N;T;D;O;D
J 18/08/2005;M;N;T;D;O;D
V 19/08/2005;T;D;N;D;O;M
S 20/08/2005;T;D;N;D;D;M
D 21/08/2005;N;D;D;M;D;T
L 22/08/2005;N;D;D;M;O;T
M 23/08/2005;D;M;D;T;O;N
X 24/08/2005;D;M;D;T;O;N
J 25/08/2005;D;T;M;N;O;D
V 26/08/2005;D;T;M;N;O;D
S 27/08/2005;M;N;T;D;D;D
D 28/08/2005;M;N;T;D;D;D
L 29/08/2005;T;D;N;D;M;O
M 30/08/2005;T;D;N;D;M;O
X 31/08/2005;N;D;D;M;T;O
J 01/09/2005;N;D;D;M;T;O
V 02/09/2005;D;M;D;T;N;O
S 03/09/2005;D;M;D;T;N;D
D 04/09/2005;D;T;M;N;D;D
L 05/09/2005;D;T;M;N;D;O
M 06/09/2005;M;N;T;D;D;O
X 07/09/2005;M;N;T;D;D;O
J 08/09/2005;T;D;N;D;M;O
V 09/09/2005;T;D;N;D;M;O
S 10/09/2005;N;D;D;M;T;D
D 11/09/2005;N;D;D;M;T;D
L 12/09/2005;D;M;D;T;N;O
M 13/09/2005;D;M;D;T;N;O
X 14/09/2005;D;T;M;N;D;O
J 15/09/2005;D;T;M;N;D;O
V 16/09/2005;M;N;T;D;D;O
S 17/09/2005;M;N;T;D;D;D
D 18/09/2005;T;D;N;D;M;D
L 19/09/2005;T;D;N;D;M;O
M 20/09/2005;N;D;D;M;T;O
X 21/09/2005;N;D;D;M;T;O
J 22/09/2005;D;M;D;T;N;O
V 23/09/2005;D;M;D;T;N;O
S 24/09/2005;D;T;M;N;D;D
D 25/09/2005;D;T;M;N;D;D
L 26/09/2005;O;N;T;D;D;M
M 27/09/2005;O;N;T;D;D;M
X 28/09/2005;O;D;N;D;M;T
J 29/09/2005;O;D;N;D;M;T
V 30/09/2005;O;D;D;M;T;N
S 01/10/2005;D;D;D;M;T;N
D 02/10/2005;D;M;D;T;N;D
L 03/10/2005;O;M;D;T;N;D
M 04/10/2005;O;T;M;N;D;D
X 05/10/2005;O;T;M;N;D;D
J 06/10/2005;O;N;T;D;D;M
V 07/10/2005;O;N;T;D;D;M
S 08/10/2005;D;D;N;D;M;T
D 09/10/2005;D;D;N;D;M;T
L 10/10/2005;O;D;D;M;T;N
M 11/10/2005;O;D;D;M;T;N
X 12/10/2005;O;M;D;T;N;D
J 13/10/2005;O;M;D;T;N;D
V 14/10/2005;O;T;M;N;D;D
S 15/10/2005;D;T;M;N;D;D
D 16/10/2005;D;N;T;D;D;M
L 17/10/2005;O;N;T;D;D;M
M 18/10/2005;O;D;N;D;M;T
X 19/10/2005;O;D;N;D;M;T
J 20/10/2005;O;D;D;M;T;N
V 21/10/2005;O;D;D;M;T;N
S 22/10/2005;D;M;D;T;N;D
D 23/10/2005;D;M;D;T;N;D
L 24/10/2005;M;T;O;N;D;D
M 25/10/2005;M;T;O;N;D;D
X 26/10/2005;T;N;O;D;D;M
J 27/10/2005;T;N;O;D;D;M
V 28/10/2005;N;D;O;D;M;T
S 29/10/2005;N;D;D;D;M;T
D 30/10/2005;D;D;D;M;T;N
L 31/10/2005;D;D;O;M;T;N
M 01/11/2005;D;M;O;T;N;D
X 02/11/2005;D;M;O;T;N;D
J 03/11/2005;M;T;O;N;D;D
V 04/11/2005;M;T;O;N;D;D
S 05/11/2005;T;N;D;D;D;M
D 06/11/2005;T;N;D;D;D;M
L 07/11/2005;N;D;M;D;O;T
M 08/11/2005;N;D;M;D;O;T
X 09/11/2005;D;D;T;M;O;N
J 10/11/2005;D;D;T;M;O;N
V 11/11/2005;D;M;N;T;O;D
S 12/11/2005;D;M;N;T;D;D
D 13/11/2005;M;T;D;N;D;D
L 14/11/2005;M;T;D;N;O;D
M 15/11/2005;T;N;D;D;O;M
X 16/11/2005;T;N;D;D;O;M
J 17/11/2005;N;D;M;D;O;T
V 18/11/2005;N;D;M;D;O;T
S 19/11/2005;D;D;T;M;D;N
D 20/11/2005;D;D;T;M;D;N
L 21/11/2005;D;O;N;T;M;D
M 22/11/2005;D;O;N;T;M;D
X 23/11/2005;M;O;D;N;T;D
J 24/11/2005;M;O;D;N;T;D
V 25/11/2005;T;O;D;D;N;M
S 26/11/2005;T;D;D;D;N;M
D 27/11/2005;N;D;M;D;D;T
L 28/11/2005;N;O;M;D;D;T
M 29/11/2005;D;O;T;M;D;N
X 30/11/2005;D;O;T;M;D;N
J 01/12/2005;D;O;N;T;M;D
V 02/12/2005;D;O;N;T;M;D
S 03/12/2005;M;D;D;N;T;D
D 04/12/2005;M;D;D;N;T;D
L 05/12/2005;T;M;D;D;N;O
M 06/12/2005;T;M;D;D;N;O
X 07/12/2005;N;T;M;D;D;O
J 08/12/2005;N;T;M;D;D;O
V 09/12/2005;D;N;T;M;D;O
S 10/12/2005;D;N;T;M;D;D
D 11/12/2005;D;D;N;T;M;D
L 12/12/2005;D;D;N;T;M;O
M 13/12/2005;M;D;D;N;T;O
X 14/12/2005;M;D;D;N;T;O
J 15/12/2005;T;M;D;D;N;O
V 16/12/2005;T;M;D;D;N;O
S 17/12/2005;N;T;M;D;D;D
D 18/12/2005;N;T;M;D;D;D
L 19/12/2005;D;N;T;O;D;M
M 20/12/2005;D;N;T;O;D;M
X 21/12/2005;D;D;N;O;M;T
J 22/12/2005;D;D;N;O;M;T
V 23/12/2005;M;D;D;O;T;N
S 24/12/2005;M;D;D;D;T;N
D 25/12/2005;T;M;D;D;N;D
L 26/12/2005;T;M;D;O;N;D
M 27/12/2005;N;T;M;O;D;D
X 28/12/2005;N;T;M;O;D;D
J 29/12/2005;D;N;T;O;D;M
V 30/12/2005;D;N;T;O;D;M
S 31/12/2005;D;D;N;D;M;T
D 01/01/2006;D;D;N;D;M;T
L 02/01/2006;O;D;D;M;T;N
M 03/01/2006;O;D;D;M;T;N
X 04/01/2006;O;M;D;T;N;D
J 05/01/2006;O;M;D;T;N;D
V 06/01/2006;O;T;M;N;D;D
S 07/01/2006;D;T;M;N;D;D
D 08/01/2006;D;N;T;D;D;M
L 09/01/2006;O;N;T;D;D;M
M 10/01/2006;O;D;N;D;M;T
X 11/01/2006;O;D;N;D;M;T
J 12/01/2006;O;D;D;M;T;N
V 13/01/2006;O;D;D;M;T;N
S 14/01/2006;D;M;D;T;N;D
D 15/01/2006;D;M;D;T;N;D
L 16/01/2006;M;T;O;N;D;D
M 17/01/2006;M;T;O;N;D;D
X 18/01/2006;T;N;O;D;D;M
J 19/01/2006;T;N;O;D;D;M
V 20/01/2006;N;D;O;D;M;T
S 21/01/2006;N;D;D;D;M;T
D 22/01/2006;D;D;D;M;T;N
L 23/01/2006;D;D;O;M;T;N
M 24/01/2006;D;M;O;T;N;D
X 25/01/2006;D;M;O;T;N;D
J 26/01/2006;M;T;O;N;D;D
V 27/01/2006;M;T;O;N;D;D
S 28/01/2006;T;N;D;D;D;M
D 29/01/2006;T;N;D;D;D;M
L 30/01/2006;N;D;M;D;O;T
M 31/01/2006;N;D;M;D;O;T
X 01/02/2006;D;D;T;M;O;N
J 02/02/2006;D;D;T;M;O;N
V 03/02/2006;D;M;N;T;O;D
S 04/02/2006;D;M;N;T;D;D
D 05/02/2006;M;T;D;N;D;D
L 06/02/2006;M;T;D;N;O;D
M 07/02/2006;T;N;D;D;O;M
X 08/02/2006;T;N;D;D;O;M
J 09/02/2006;N;D;M;D;O;T
V 10/02/2006;N;D;M;D;O;T
S 11/02/2006;D;D;T;M;D;N
D 12/02/2006;D;D;T;M;D;N
L 13/02/2006;D;O;N;T;M;D
M 14/02/2006;D;O;N;T;M;D
X 15/02/2006;M;O;D;N;T;D
J 16/02/2006;M;O;D;N;T;D
V 17/02/2006;T;O;D;D;N;M
S 18/02/2006;T;D;D;D;N;M
D 19/02/2006;N;D;M;D;D;T
L 20/02/2006;N;O;M;D;D;T
M 21/02/2006;D;O;T;M;D;N
X 22/02/2006;D;O;T;M;D;N
J 23/02/2006;D;O;N;T;M;D
V 24/02/2006;D;O;N;T;M;D
S 25/02/2006;M;D;D;N;T;D
D 26/02/2006;M;D;D;N;T;D
L 27/02/2006;T;M;D;D;N;O
M 28/02/2006;T;M;D;D;N;O
X 01/03/2006;N;T;M;D;D;O
J 02/03/2006;N;T;M;D;D;O
V 03/03/2006;D;N;T;M;D;O
S 04/03/2006;D;N;T;M;D;D
D 05/03/2006;D;D;N;T;M;D
L 06/03/2006;D;D;N;T;M;O
M 07/03/2006;M;D;D;N;T;O
X 08/03/2006;M;D;D;N;T;O
J 09/03/2006;T;M;D;D;N;O
V 10/03/2006;T;M;D;D;N;O
S 11/03/2006;N;T;M;D;D;D
D 12/03/2006;N;T;M;D;D;D
L 13/03/2006;D;N;T;O;D;M
M 14/03/2006;D;N;T;O;D;M
X 15/03/2006;D;D;N;O;M;T
J 16/03/2006;D;D;N;O;M;T
V 17/03/2006;M;D;D;O;T;N
S 18/03/2006;M;D;D;D;T;N
D 19/03/2006;T;M;D;D;N;D
L 20/03/2006;T;M;D;O;N;D
M 21/03/2006;N;T;M;O;D;D
X 22/03/2006;N;T;M;O;D;D
J 23/03/2006;D;N;T;O;D;M
V 24/03/2006;D;N;T;O;D;M
S 25/03/2006;D;D;N;D;M;T
D 26/03/2006;D;D;N;D;M;T
L 27/03/2006;O;D;D;M;T;N
M 28/03/2006;O;D;D;M;T;N
X 29/03/2006;O;M;D;T;N;D
J 30/03/2006;O;M;D;T;N;D
V 31/03/2006;O;T;M;N;D;D
S 01/04/2006;D;T;M;N;D;D
D 02/04/2006;D;N;T;D;D;M
L 03/04/2006;O;N;T;D;D;M
M 04/04/2006;O;D;N;D;M;T
X 05/04/2006;O;D;N;D;M;T
J 06/04/2006;O;D;D;M;T;N
V 07/04/2006;O;D;D;M;T;N
S 08/04/2006;D;M;D;T;N;D
D 09/04/2006;D;M;D;T;N;D
L 10/04/2006;M;T;O;N;D;D
M 11/04/2006;M;T;O;N;D;D
X 12/04/2006;T;N;O;D;D;M
J 13/04/2006;T;N;O;D;D;M
V 14/04/2006;N;D;O;D;M;T
S 15/04/2006;N;D;D;D;M;T
D 16/04/2006;D;D;D;M;T;N
L 17/04/2006;D;D;O;M;T;N
M 18/04/2006;D;M;O;T;N;D
X 19/04/2006;D;M;O;T;N;D
J 20/04/2006;M;T;O;N;D;D
V 21/04/2006;M;T;O;N;D;D
S 22/04/2006;T;N;D;D;D;M
D 23/04/2006;T;N;D;D;D;M
L 24/04/2006;N;D;M;D;O;T
M 25/04/2006;N;D;M;D;O;T
X 26/04/2006;D;D;T;M;O;N
J 27/04/2006;D;D;T;M;O;N
V 28/04/2006;D;M;N;T;O;D
S 29/04/2006;D;M;N;T;D;D
D 30/04/2006;M;T;D;N;D;D
L 01/05/2006;M;T;D;N;O;D
M 02/05/2006;T;N;D;D;O;M
X 03/05/2006;T;N;D;D;O;M
J 04/05/2006;N;D;M;D;O;T
V 05/05/2006;N;D;M;D;O;T
S 06/05/2006;D;D;T;M;D;N
D 07/05/2006;D;D;T;M;D;N
L 08/05/2006;D;O;N;T;M;D
M 09/05/2006;O;O;N;T;M;D
X 10/05/2006;M;O;D;N;T;D
J 11/05/2006;M;O;D;N;T;O
V 12/05/2006;T;O;D;D;N;M
S 13/05/2006;T;D;D;D;N;M
D 14/05/2006;N;D;M;D;D;T
L 15/05/2006;N;O;M;O;D;T
M 16/05/2006;D;O;T;M;D;N
X 17/05/2006;D;O;T;M;O;N
J 18/05/2006;D;O;N;T;M;D
V 19/05/2006;D;O;N;T;M;D
S 20/05/2006;M;D;D;N;T;D
D 21/05/2006;M;D;D;N;T;D
L 22/05/2006;T;O;D;D;N;M
M 23/05/2006;T;O;O;D;N;M
X 24/05/2006;N;O;M;D;D;T
J 25/05/2006;N;O;M;D;D;T
V 26/05/2006;D;O;T;M;D;N
S 27/05/2006;D;D;T;M;D;N
D 28/05/2006;D;D;N;T;M;D
L 29/05/2006;D;O;N;T;M;D
M 30/05/2006;M;O;D;N;T;D
X 31/05/2006;M;O;D;N;T;D
J 01/06/2006;T;O;D;D;N;M
V 02/06/2006;T;O;D;D;N;M
S 03/06/2006;N;D;M;D;D;T
D 04/06/2006;N;D;M;D;D;T
L 05/06/2006;D;M;T;O;D;N
M 06/06/2006;D;M;T;O;O;N
X 07/06/2006;D;T;N;O;M;D
J 08/06/2006;O;T;N;O;M;D
V 09/06/2006;M;N;D;O;T;D
S 10/06/2006;M;N;D;D;T;D
D 11/06/2006;T;D;D;D;N;M
L 12/06/2006;T;D;O;O;N;M
M 13/06/2006;N;D;M;O;D;T
X 14/06/2006;N;O;M;O;D;T
J 15/06/2006;D;M;T;O;D;N
V 16/06/2006;D;M;T;O;D;N
S 17/06/2006;D;T;N;D;M;D
D 18/06/2006;D;T;N;D;M;D
L 19/06/2006;M;N;D;O;T;D
M 20/06/2006;M;N;D;O;T;O
X 21/06/2006;T;D;D;O;N;M
J 22/06/2006;T;D;O;O;N;M
V 23/06/2006;N;D;M;O;D;T
S 24/06/2006;N;D;M;D;D;T
D 25/06/2006;D;M;T;D;D;N
L 26/06/2006;D;M;T;O;O;N
M 27/06/2006;D;T;N;O;M;D
X 28/06/2006;O;T;N;O;M;D
J 29/06/2006;M;N;D;O;T;D
V 30/06/2006;M;N;D;O;T;D
S 01/07/2006;T;D;D;D;N;M
D 02/07/2006;T;D;D;D;N;M
L 03/07/2006;N;D;O;M;D;T
M 04/07/2006;N;O;O;M;D;T
X 05/07/2006;D;M;O;T;D;N
J 06/07/2006;D;M;O;T;O;N
V 07/07/2006;D;T;O;N;M;D
S 08/07/2006;D;T;D;N;M;D
D 09/07/2006;M;N;D;D;T;D
L 10/07/2006;M;N;O;D;T;O
M 11/07/2006;T;D;O;D;N;M
X 12/07/2006;T;D;O;O;N;M
J 13/07/2006;N;D;O;M;D;T
V 14/07/2006;N;D;O;M;D;T
S 15/07/2006;D;M;D;T;D;N
D 16/07/2006;D;M;D;T;D;N
L 17/07/2006;D;T;O;N;M;D
M 18/07/2006;O;T;O;N;M;D
X 19/07/2006;M;N;O;D;T;D
J 20/07/2006;M;N;O;D;T;O
V 21/07/2006;T;D;O;D;N;M
S 22/07/2006;T;D;D;D;N;M
D 23/07/2006;N;D;D;M;D;T
L 24/07/2006;N;D;O;M;D;T
M 25/07/2006;D;M;O;T;D;N
X 26/07/2006;D;M;O;T;O;N
J 27/07/2006;D;T;O;N;M;D
V 28/07/2006;D;T;O;N;M;D
S 29/07/2006;M;N;D;D;T;D
D 30/07/2006;M;N;D;D;T;D
L 31/07/2006;T;D;M;D;N;O
M 01/08/2006;T;D;M;O;N;O
X 02/08/2006;N;D;T;M;D;O
J 03/08/2006;N;O;T;M;D;O
V 04/08/2006;D;M;N;T;D;O
S 05/08/2006;D;M;N;T;D;D
D 06/08/2006;D;T;D;N;M;D
L 07/08/2006;D;T;D;N;M;O
M 08/08/2006;M;N;D;D;T;O
X 09/08/2006;M;N;O;D;T;O
J 10/08/2006;T;D;M;D;N;O
V 11/08/2006;T;D;M;D;N;O
S 12/08/2006;N;D;T;M;D;D
D 13/08/2006;N;D;T;M;D;D
L 14/08/2006;D;M;N;T;D;O
M 15/08/2006;D;M;N;T;D;O
X 16/08/2006;D;T;D;N;M;O
J 17/08/2006;D;T;D;N;M;O
V 18/08/2006;M;N;D;D;T;O
S 19/08/2006;M;N;D;D;T;D
D 20/08/2006;T;D;M;D;N;D
L 21/08/2006;T;D;M;O;N;O
M 22/08/2006;N;D;T;M;D;O
X 23/08/2006;N;O;T;M;D;O
J 24/08/2006;D;M;N;T;D;O
V 25/08/2006;D;M;N;T;O;O
S 26/08/2006;D;T;D;N;M;D
D 27/08/2006;D;T;D;N;M;D
L 28/08/2006;O;N;D;D;T;M
M 29/08/2006;O;N;O;D;T;M
X 30/08/2006;O;D;M;D;N;T
J 31/08/2006;O;D;M;D;N;T
V 01/09/2006;O;D;T;M;D;N
S 02/09/2006;D;D;T;M;D;N
D 03/09/2006;D;M;N;T;D;D
L 04/09/2006;O;M;N;T;D;D
M 05/09/2006;O;T;D;N;M;D
X 06/09/2006;O;T;D;N;M;O
J 07/09/2006;O;N;D;D;T;M
V 08/09/2006;O;N;O;D;T;M
S 09/09/2006;D;D;M;D;N;T
D 10/09/2006;D;D;M;D;N;T
L 11/09/2006;O;D;T;M;D;N
M 12/09/2006;O;O;T;M;D;N
X 13/09/2006;O;M;N;T;D;D
J 14/09/2006;O;M;N;T;O;D
V 15/09/2006;O;T;D;N;M;D
S 16/09/2006;D;T;D;N;M;D
D 17/09/2006;D;N;D;D;T;M
L 18/09/2006;O;N;D;D;T;M
M 19/09/2006;O;D;M;D;N;T
X 20/09/2006;O;D;M;O;N;T
J 21/09/2006;O;D;T;M;D;N
V 22/09/2006;O;D;T;M;D;N
S 23/09/2006;D;M;N;T;D;D
D 24/09/2006;D;M;N;T;D;D
L 25/09/2006;M;T;D;N;O;D
M 26/09/2006;M;T;D;N;O;O
X 27/09/2006;T;N;D;D;O;M
J 28/09/2006;T;N;D;D;O;M
V 29/09/2006;N;D;M;D;O;T
S 30/09/2006;N;D;M;D;D;T
D 01/10/2006;D;D;T;M;D;N
L 02/10/2006;D;O;T;M;O;N
M 03/10/2006;D;M;N;T;O;D
X 04/10/2006;D;M;N;T;O;D
J 05/10/2006;M;T;D;N;O;D
V 06/10/2006;M;T;D;N;O;D
S 07/10/2006;T;N;D;D;D;M
D 08/10/2006;T;N;D;D;D;M
L 09/10/2006;N;D;M;D;O;T
M 10/10/2006;N;D;M;O;O;T
X 11/10/2006;D;D;T;M;O;N
J 12/10/2006;D;D;T;M;O;N
V 13/10/2006;D;M;N;T;O;D
S 14/10/2006;D;M;N;T;D;D
D 15/10/2006;M;T;D;N;D;D
L 16/10/2006;M;T;D;N;O;O
M 17/10/2006;T;N;D;D;O;M
X 18/10/2006;T;N;O;D;O;M
J 19/10/2006;N;D;M;D;O;T
V 20/10/2006;N;D;M;D;O;T
S 21/10/2006;D;D;T;M;D;N
D 22/10/2006;D;D;T;M;D;N
L 23/10/2006;D;O;N;T;M;D
M 24/10/2006;D;O;N;T;M;D
