Fecha;Equipo A;Equipo B;Equipo C;Equipo D;Equipo E;Equipo F
Miércoles 27/07/2005;D;T;M;O;N;D
Jueves 28/07/2005;M;N;T;O;D;D
Viernes 29/07/2005;M;N;T;O;D;D
Sábado 30/07/2005;T;D;N;D;D;M
Domingo 31/07/2005;T;D;N;D;D;M
Lunes 01/08/2005;N;D;D;M;O;T
Martes 02/08/2005;N;D;D;M;O;T
Miércoles 03/08/2005;D;M;D;T;O;N
Jueves 04/08/2005;D;M;D;T;O;N
Viernes 05/08/2005;D;T;M;N;O;D
Sábado 06/08/2005;D;T;M;N;D;D
Domingo 07/08/2005;M;N;T;D;D;D
Lunes 08/08/2005;M;N;T;D;O;D
Martes 09/08/2005;T;D;N;D;O;M
Miércoles 10/08/2005;T;D;N;D;O;M
Jueves 11/08/2005;N;D;D;M;O;T
Viernes 12/08/2005;N;D;D;M;O;T
Sábado 13/08/2005;D;M;D;T;D;N
Domingo 14/08/2005;D;M;D;T;D;N
Lunes 15/08/2005;D;T;M;N;O;D
Martes 16/08/2005;D;T;M;N;O;D
Miércoles 17/08/2005;M;N;T;D;O;D
Jueves 18/08/2005;M;N;T;D;O;D
Viernes 19/08/2005;T;D;N;D;O;M
Sábado 20/08/2005;T;D;N;D;D;M
Domingo 21/08/2005;N;D;D;M;D;T
Lunes 22/08/2005;N;D;D;M;O;T
Martes 23/08/2005;D;M;D;T;O;N
Miércoles 24/08/2005;D;M;D;T;O;N
Jueves 25/08/2005;D;T;M;N;O;D
Viernes 26/08/2005;D;T;M;N;O;D
Sábado 27/08/2005;M;N;T;D;D;D
Domingo 28/08/2005;M;N;T;D;D;D
Lunes 29/08/2005;T;D;N;D;M;O
Martes 30/08/2005;T;D;N;D;M;O
Miércoles 31/08/2005;N;D;D;M;T;O
Jueves 01/09/2005;N;D;D;M;T;O
Viernes 02/09/2005;D;M;D;T;N;O
Sábado 03/09/2005;D;M;D;T;N;D
Domingo 04/09/2005;D;T;M;N;D;D
Lunes 05/09/2005;D;T;M;N;D;O
Martes 06/09/2005;M;N;T;D;D;O
Miércoles 07/09/2005;M;N;T;D;D;O
Jueves 08/09/2005;T;D;N;D;M;O
Viernes 09/09/2005;T;D;N;D;M;O
Sábado 10/09/2005;N;D;D;M;T;D
Domingo 11/09/2005;N;D;D;M;T;D
Lunes 12/09/2005;D;M;D;T;N;O
Martes 13/09/2005;D;M;D;T;N;O
Miércoles 14/09/2005;D;T;M;N;D;O
Jueves 15/09/2005;D;T;M;N;D;O
Viernes 16/09/2005;M;N;T;D;D;O
Sábado 17/09/2005;M;N;T;D;D;D
Domingo 18/09/2005;T;D;N;D;M;D
Lunes 19/09/2005;T;D;N;D;M;O
Martes 20/09/2005;N;D;D;M;T;O
Miércoles 21/09/2005;N;D;D;M;T;O
Jueves 22/09/2005;D;M;D;T;N;O
Viernes 23/09/2005;D;M;D;T;N;O
Sábado 24/09/2005;D;T;M;N;D;D
Domingo 25/09/2005;D;T;M;N;D;D
Lunes 26/09/2005;O;N;T;D;D;M
Martes 27/09/2005;O;N;T;D;D;M
Miércoles 28/09/2005;O;D;N;D;M;T
Jueves 29/09/2005;O;D;N;D;M;T
Viernes 30/09/2005;O;D;D;M;T;N
Sábado 01/10/2005;D;D;D;M;T;N
Domingo 02/10/2005;D;M;D;T;N;D
Lunes 03/10/2005;O;M;D;T;N;D
Martes 04/10/2005;O;T;M;N;D;D
Miércoles 05/10/2005;O;T;M;N;D;D
Jueves 06/10/2005;O;N;T;D;D;M
Viernes 07/10/2005;O;N;T;D;D;M
Sábado 08/10/2005;D;D;N;D;M;T
Domingo 09/10/2005;D;D;N;D;M;T
Lunes 10/10/2005;O;D;D;M;T;N
Martes 11/10/2005;O;D;D;M;T;N
Miércoles 12/10/2005;O;M;D;T;N;D
Jueves 13/10/2005;O;M;D;T;N;D
Viernes 14/10/2005;O;T;M;N;D;D
Sábado 15/10/2005;D;T;M;N;D;D
Domingo 16/10/2005;D;N;T;D;D;M
Lunes 17/10/2005;O;N;T;D;D;M
Martes 18/10/2005;O;D;N;D;M;T
Miércoles 19/10/2005;O;D;N;D;M;T
Jueves 20/10/2005;O;D;D;M;T;N
Viernes 21/10/2005;O;D;D;M;T;N
Sábado 22/10/2005;D;M;D;T;N;D
Domingo 23/10/2005;D;M;D;T;N;D
Lunes 24/10/2005;M;T;O;N;D;D
Martes 25/10/2005;M;T;O;N;D;D
Miércoles 26/10/2005;T;N;O;D;D;M
Jueves 27/10/2005;T;N;O;D;D;M
Viernes 28/10/2005;N;D;O;D;M;T
Sábado 29/10/2005;N;D;D;D;M;T
Domingo 30/10/2005;D;D;D;M;T;N
Lunes 31/10/2005;D;D;O;M;T;N
Martes 01/11/2005;D;M;O;T;N;D
Miércoles 02/11/2005;D;M;O;T;N;D
Jueves 03/11/2005;M;T;O;N;D;D
Viernes 04/11/2005;M;T;O;N;D;D
Sábado 05/11/2005;T;N;D;D;D;M
Domingo 06/11/2005;T;N;D;D;D;M
Lunes 07/11/2005;N;D;M;D;O;T
Martes 08/11/2005;N;D;M;D;O;T
Miércoles 09/11/2005;D;D;T;M;O;N
Jueves 10/11/2005;D;D;T;M;O;N
Viernes 11/11/2005;D;M;N;T;O;D
Sábado 12/11/2005;D;M;N;T;D;D
Domingo 13/11/2005;M;T;D;N;D;D
Lunes 14/11/2005;M;T;D;N;O;D
Martes 15/11/2005;T;N;D;D;O;M
Miércoles 16/11/2005;T;N;D;D;O;M
Jueves 17/11/2005;N;D;M;D;O;T
Viernes 18/11/2005;N;D;M;D;O;T
Sábado 19/11/2005;D;D;T;M;D;N
Domingo 20/11/2005;D;D;T;M;D;N
Lunes 21/11/2005;D;O;N;T;M;D
Martes 22/11/2005;D;O;N;T;M;D
Miércoles 23/11/2005;M;O;D;N;T;D
Jueves 24/11/2005;M;O;D;N;T;D
Viernes 25/11/2005;T;O;D;D;N;M
Sábado 26/11/2005;T;D;D;D;N;M
Domingo 27/11/2005;N;D;M;D;D;T
Lunes 28/11/2005;N;O;M;D;D;T
Martes 29/11/2005;D;O;T;M;D;N
Miércoles 30/11/2005;D;O;T;M;D;N
Jueves 01/12/2005;D;O;N;T;M;D
Viernes 02/12/2005;D;O;N;T;M;D
Sábado 03/12/2005;M;D;D;N;T;D
Domingo 04/12/2005;M;D;D;N;T;D
Lunes 05/12/2005;T;M;D;D;N;O
Martes 06/12/2005;T;M;D;D;N;O
Miércoles 07/12/2005;N;T;M;D;D;O
Jueves 08/12/2005;N;T;M;D;D;O
Viernes 09/12/2005;D;N;T;M;D;O
Sábado 10/12/2005;D;N;T;M;D;D
Domingo 11/12/2005;D;D;N;T;M;D
Lunes 12/12/2005;D;D;N;T;M;O
Martes 13/12/2005;M;D;D;N;T;O
Miércoles 14/12/2005;M;D;D;N;T;O
Jueves 15/12/2005;T;M;D;D;N;O
Viernes 16/12/2005;T;M;D;D;N;O
Sábado 17/12/2005;N;T;M;D;D;D
Domingo 18/12/2005;N;T;M;D;D;D
Lunes 19/12/2005;D;N;T;O;D;M
Martes 20/12/2005;D;N;T;O;D;M
Miércoles 21/12/2005;D;D;N;O;M;T
Jueves 22/12/2005;D;D;N;O;M;T
Viernes 23/12/2005;M;D;D;O;T;N
Sábado 24/12/2005;M;D;D;D;T;N
Domingo 25/12/2005;T;M;D;D;N;D
Lunes 26/12/2005;T;M;D;O;N;D
Martes 27/12/2005;N;T;M;O;D;D
Miércoles 28/12/2005;N;T;M;O;D;D
Jueves 29/12/2005;D;N;T;O;D;M
Viernes 30/12/2005;D;N;T;O;D;M
Sábado 31/12/2005;D;D;N;D;M;T
Domingo 01/01/2006;D;D;N;D;M;T
Lunes 02/01/2006;O;D;D;M;T;N
Martes 03/01/2006;O;D;D;M;T;N
Miércoles 04/01/2006;O;M;D;T;N;D
Jueves 05/01/2006;O;M;D;T;N;D
Viernes 06/01/2006;O;T;M;N;D;D
Sábado 07/01/2006;D;T;M;N;D;D
Domingo 08/01/2006;D;N;T;D;D;M
Lunes 09/01/2006;O;N;T;D;D;M
Martes 10/01/2006;O;D;N;D;M;T
Miércoles 11/01/2006;O;D;N;D;M;T
Jueves 12/01/2006;O;D;D;M;T;N
Viernes 13/01/2006;O;D;D;M;T;N
Sábado 14/01/2006;D;M;D;T;N;D
Domingo 15/01/2006;D;M;D;T;N;D
Lunes 16/01/2006;M;T;O;N;D;D
Martes 17/01/2006;M;T;O;N;D;D
Miércoles 18/01/2006;T;N;O;D;D;M
Jueves 19/01/2006;T;N;O;D;D;M
Viernes 20/01/2006;N;D;O;D;M;T
Sábado 21/01/2006;N;D;D;D;M;T
Domingo 22/01/2006;D;D;D;M;T;N
Lunes 23/01/2006;D;D;O;M;T;N
Martes 24/01/2006;D;M;O;T;N;D
Miércoles 25/01/2006;D;M;O;T;N;D
Jueves 26/01/2006;M;T;O;N;D;D
Viernes 27/01/2006;M;T;O;N;D;D
Sábado 28/01/2006;T;N;D;D;D;M
Domingo 29/01/2006;T;N;D;D;D;M
Lunes 30/01/2006;N;D;M;D;O;T
Martes 31/01/2006;N;D;M;D;O;T
Miércoles 01/02/2006;D;D;T;M;O;N
Jueves 02/02/2006;D;D;T;M;O;N
Viernes 03/02/2006;D;M;N;T;O;D
Sábado 04/02/2006;D;M;N;T;D;D
Domingo 05/02/2006;M;T;D;N;D;D
Lunes 06/02/2006;M;T;D;N;O;D
Martes 07/02/2006;T;N;D;D;O;M
Miércoles 08/02/2006;T;N;D;D;O;M
Jueves 09/02/2006;N;D;M;D;O;T
Viernes 10/02/2006;N;D;M;D;O;T
Sábado 11/02/2006;D;D;T;M;D;N
Domingo 12/02/2006;D;D;T;M;D;N
Lunes 13/02/2006;D;O;N;T;M;D
Martes 14/02/2006;D;O;N;T;M;D
Miércoles 15/02/2006;M;O;D;N;T;D
Jueves 16/02/2006;M;O;D;N;T;D
Viernes 17/02/2006;T;O;D;D;N;M
Sábado 18/02/2006;T;D;D;D;N;M
Domingo 19/02/2006;N;D;M;D;D;T
Lunes 20/02/2006;N;O;M;D;D;T
Martes 21/02/2006;D;O;T;M;D;N
Miércoles 22/02/2006;D;O;T;M;D;N
Jueves 23/02/2006;D;O;N;T;M;D
Viernes 24/02/2006;D;O;N;T;M;D
Sábado 25/02/2006;M;D;D;N;T;D
Domingo 26/02/2006;M;D;D;N;T;D
Lunes 27/02/2006;T;M;D;D;N;O
Martes 28/02/2006;T;M;D;D;N;O
Miércoles 01/03/2006;N;T;M;D;D;O
Jueves 02/03/2006;N;T;M;D;D;O
Viernes 03/03/2006;D;N;T;M;D;O
Sábado 04/03/2006;D;N;T;M;D;D
Domingo 05/03/2006;D;D;N;T;M;D
Lunes 06/03/2006;D;D;N;T;M;O
Martes 07/03/2006;M;D;D;N;T;O
Miércoles 08/03/2006;M;D;D;N;T;O
Jueves 09/03/2006;T;M;D;D;N;O
Viernes 10/03/2006;T;M;D;D;N;O
Sábado 11/03/2006;N;T;M;D;D;D
Domingo 12/03/2006;N;T;M;D;D;D
Lunes 13/03/2006;D;N;T;O;D;M
Martes 14/03/2006;D;N;T;O;D;M
Miércoles 15/03/2006;D;D;N;O;M;T
Jueves 16/03/2006;D;D;N;O;M;T
Viernes 17/03/2006;M;D;D;O;T;N
Sábado 18/03/2006;M;D;D;D;T;N
Domingo 19/03/2006;T;M;D;D;N;D
Lunes 20/03/2006;T;M;D;O;N;D
Martes 21/03/2006;N;T;M;O;D;D
Miércoles 22/03/2006;N;T;M;O;D;D
Jueves 23/03/2006;D;N;T;O;D;M
Viernes 24/03/2006;D;N;T;O;D;M
Sábado 25/03/2006;D;D;N;D;M;T
Domingo 26/03/2006;D;D;N;D;M;T
Lunes 27/03/2006;O;D;D;M;T;N
Martes 28/03/2006;O;D;D;M;T;N
Miércoles 29/03/2006;O;M;D;T;N;D
Jueves 30/03/2006;O;M;D;T;N;D
Viernes 31/03/2006;O;T;M;N;D;D
Sábado 01/04/2006;D;T;M;N;D;D
Domingo 02/04/2006;D;N;T;D;D;M
Lunes 03/04/2006;O;N;T;D;D;M
Martes 04/04/2006;O;D;N;D;M;T
Miércoles 05/04/2006;O;D;N;D;M;T
Jueves 06/04/2006;O;D;D;M;T;N
Viernes 07/04/2006;O;D;D;M;T;N
Sábado 08/04/2006;D;M;D;T;N;D
Domingo 09/04/2006;D;M;D;T;N;D
Lunes 10/04/2006;M;T;O;N;D;D
Martes 11/04/2006;M;T;O;N;D;D
Miércoles 12/04/2006;T;N;O;D;D;M
Jueves 13/04/2006;T;N;O;D;D;M
Viernes 14/04/2006;N;D;O;D;M;T
Sábado 15/04/2006;N;D;D;D;M;T
Domingo 16/04/2006;D;D;D;M;T;N
Lunes 17/04/2006;D;D;O;M;T;N
Martes 18/04/2006;D;M;O;T;N;D
Miércoles 19/04/2006;D;M;O;T;N;D
Jueves 20/04/2006;M;T;O;N;D;D
Viernes 21/04/2006;M;T;O;N;D;D
Sábado 22/04/2006;T;N;D;D;D;M
Domingo 23/04/2006;T;N;D;D;D;M
Lunes 24/04/2006;N;D;M;D;O;T
Martes 25/04/2006;N;D;M;D;O;T
Miércoles 26/04/2006;D;D;T;M;O;N
Jueves 27/04/2006;D;D;T;M;O;N
Viernes 28/04/2006;D;M;N;T;O;D
Sábado 29/04/2006;D;M;N;T;D;D
Domingo 30/04/2006;M;T;D;N;D;D
Lunes 01/05/2006;M;T;D;N;O;D
Martes 02/05/2006;T;N;D;D;O;M
Miércoles 03/05/2006;T;N;D;D;O;M
Jueves 04/05/2006;N;D;M;D;O;T
Viernes 05/05/2006;N;D;M;D;O;T
Sábado 06/05/2006;D;D;T;M;D;N
Domingo 07/05/2006;D;D;T;M;D;N
Lunes 08/05/2006;D;O;N;T;M;D
Martes 09/05/2006;O;O;N;T;M;D
Miércoles 10/05/2006;M;O;D;N;T;D
Jueves 11/05/2006;M;O;D;N;T;O
Viernes 12/05/2006;T;O;D;D;N;M
Sábado 13/05/2006;T;D;D;D;N;M
Domingo 14/05/2006;N;D;M;D;D;T
Lunes 15/05/2006;N;O;M;O;D;T
Martes 16/05/2006;D;O;T;M;D;N
Miércoles 17/05/2006;D;O;T;M;O;N
Jueves 18/05/2006;D;O;N;T;M;D
Viernes 19/05/2006;D;O;N;T;M;D
Sábado 20/05/2006;M;D;D;N;T;D
Domingo 21/05/2006;M;D;D;N;T;D
Lunes 22/05/2006;T;O;D;D;N;M
Martes 23/05/2006;T;O;O;D;N;M
Miércoles 24/05/2006;N;O;M;D;D;T
Jueves 25/05/2006;N;O;M;D;D;T
Viernes 26/05/2006;D;O;T;M;D;N
Sábado 27/05/2006;D;D;T;M;D;N
Domingo 28/05/2006;D;D;N;T;M;D
Lunes 29/05/2006;D;O;N;T;M;D
Martes 30/05/2006;M;O;D;N;T;D
Miércoles 31/05/2006;M;O;D;N;T;D
Jueves 01/06/2006;T;O;D;D;N;M
Viernes 02/06/2006;T;O;D;D;N;M
Sábado 03/06/2006;N;D;M;D;D;T
Domingo 04/06/2006;N;D;M;D;D;T
Lunes 05/06/2006;D;M;T;O;D;N
Martes 06/06/2006;D;M;T;O;O;N
Miércoles 07/06/2006;D;T;N;O;M;D
Jueves 08/06/2006;O;T;N;O;M;D
Viernes 09/06/2006;M;N;D;O;T;D
Sábado 10/06/2006;M;N;D;D;T;D
Domingo 11/06/2006;T;D;D;D;N;M
Lunes 12/06/2006;T;D;O;O;N;M
Martes 13/06/2006;N;D;M;O;D;T
Miércoles 14/06/2006;N;O;M;O;D;T
Jueves 15/06/2006;D;M;T;O;D;N
Viernes 16/06/2006;D;M;T;O;D;N
Sábado 17/06/2006;D;T;N;D;M;D
Domingo 18/06/2006;D;T;N;D;M;D
Lunes 19/06/2006;M;N;D;O;T;D
Martes 20/06/2006;M;N;D;O;T;O
Miércoles 21/06/2006;T;D;D;O;N;M
Jueves 22/06/2006;T;D;O;O;N;M
Viernes 23/06/2006;N;D;M;O;D;T
Sábado 24/06/2006;N;D;M;D;D;T
Domingo 25/06/2006;D;M;T;D;D;N
Lunes 26/06/2006;D;M;T;O;O;N
Martes 27/06/2006;D;T;N;O;M;D
Miércoles 28/06/2006;O;T;N;O;M;D
Jueves 29/06/2006;M;N;D;O;T;D
Viernes 30/06/2006;M;N;D;O;T;D
Sábado 01/07/2006;T;D;D;D;N;M
Domingo 02/07/2006;T;D;D;D;N;M
Lunes 03/07/2006;N;D;O;M;D;T
Martes 04/07/2006;N;O;O;M;D;T
Miércoles 05/07/2006;D;M;O;T;D;N
Jueves 06/07/2006;D;M;O;T;O;N
Viernes 07/07/2006;D;T;O;N;M;D
Sábado 08/07/2006;D;T;D;N;M;D
Domingo 09/07/2006;M;N;D;D;T;D
Lunes 10/07/2006;M;N;O;D;T;O
Martes 11/07/2006;T;D;O;D;N;M
Miércoles 12/07/2006;T;D;O;O;N;M
Jueves 13/07/2006;N;D;O;M;D;T
Viernes 14/07/2006;N;D;O;M;D;T
Sábado 15/07/2006;D;M;D;T;D;N
Domingo 16/07/2006;D;M;D;T;D;N
Lunes 17/07/2006;D;T;O;N;M;D
Martes 18/07/2006;O;T;O;N;M;D
Miércoles 19/07/2006;M;N;O;D;T;D
Jueves 20/07/2006;M;N;O;D;T;O
Viernes 21/07/2006;T;D;O;D;N;M
Sábado 22/07/2006;T;D;D;D;N;M
Domingo 23/07/2006;N;D;D;M;D;T
Lunes 24/07/2006;N;D;O;M;D;T
Martes 25/07/2006;D;M;O;T;D;N
Miércoles 26/07/2006;D;M;O;T;O;N
Jueves 27/07/2006;D;T;O;N;M;D
Viernes 28/07/2006;D;T;O;N;M;D
Sábado 29/07/2006;M;N;D;D;T;D
Domingo 30/07/2006;M;N;D;D;T;D
Lunes 31/07/2006;T;D;M;D;N;O
Martes 01/08/2006;T;D;M;O;N;O
Miércoles 02/08/2006;N;D;T;M;D;O
